ModelName,PlistName,Ipname
CHNPRR0,scn_ccf_x_vccia_x_SRHRINGF6_sNs_edt_gbo_ca2tf_list,
CHNPRR0,scn_de_CHKSAF1_ca2tf_noram_list,
CHNPRR0,scn_de_CHKSAF2_ca2tf_noram_list,
CHNPRR0,scn_de_SRHSAF1_ca2tf_list,
CHNPRR0,scn_de_SRHSAF2_ca2tf_list,
CHNPRR0,scn_gt_cgp_CHKRINGF0_ca1tf_noram_list,
CHNPRR0,scn_gt_cgp_CHKRINGF0_ca1tf_ramonly_list,
CHNPRR0,scn_gt_cgp_CHKRINGF0_ca2tf_noram_list,
CHNPRR0,scn_gt_cgp_CHKRINGF0_ca2tf_ramonly_list,
CHNPRR0,scn_gt_cgp_SRHRINGF0_ca1tf_list,
CHNPRR0,scn_gt_cgp_SRHRINGF0_ca2tf_list,
CHNPRR0,scn_gt_cgp_SRHRINGF2_ca2tf_list,
CHNPRR0,scn_gt_cgp_SRHRINGF3_ca2tf_list,
CHNPRR0,scn_gt_media_CHKGTSMF1_ca1tf_noram_list,
CHNPRR0,scn_gt_media_SRHGTSMF1_ca1tf_list,
CHNPRR0,scn_gt_render_CHKGTUSF1_ca1tf_noram_list,
CHNPRR0,scn_gt_render_CHKGTUSF1_ca1tf_ramonly_list,
CHNPRR0,scn_gt_render_CHKGTUSF1_ca2tf_noram_list,
CHNPRR0,scn_gt_render_CHKGTUSF4_ca2tf_noram_list,
CHNPRR0,scn_gt_render_CHKGTUSF5_ca2tf_noram_list,
CHNPRR0,scn_gt_render_CHKGTUSF5_ca2tf_ramonly_list,
CHNPRR0,scn_gt_render_SRHGTUSF1_ca1tf_list,
CHNPRR0,scn_gt_render_SRHGTUSF1_ca2tf_list,
CHNPRR0,scn_gt_render_SRHGTUSF2_ca2tf_list,
CHNPRR0,scn_gt_render_SRHGTUSF4_ca2tf_list,
CHNPRR0,scn_gt_render_SRHGTUSF5_ca2tf_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF1_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF1_vmin_x_edt_cmimisc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF1_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF1_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF2_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF2_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF2_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF3_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF3_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_CHKSAF3_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF1_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF1_vmin_x_edt_cmimisc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF1_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF1_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF2_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF2_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF2_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF3_vmin_x_edt_astromid_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF3_vmin_x_edt_mc_atspeed_stf200_list,
CHNPRR0,scn_soc_rgn_vccin_SRHSAF3_vmin_x_edt_sacentral1_atspeed_stf200_list,
CHNPRR1,BILBO_8C_ATOM_VMIN_SRHATOMF2_List,
CHNPRR1,BILBO_8C_ATOM_VMIN_SRHATOMF3_List,
CHNPRR1,BILBO_8C_ATOM_VMIN_SRHATOMF4_List,
CHNPRR1,BILBO_8C_ATOM_VMIN_SRHATOMF5_List,
CHNPRR1,FCSDRG_2C_CLR_VMIN_SRHRINGF7_P_CORE23_list,
CHNPRR1,FCSDRG_2C_CLR_VMIN_SRHRINGF7_P_CORE67_list,
CHNPRR1,FCSDRG_8C_CLR_VMIN_SRHRINGF5_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF0_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF1_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF2_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF3_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF4_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF5_P_X_list,
CHNPRR1,FCSDRG_8C_CRX2_VMIN_SRHIAF6_P_X_list,
CHNPRR1,FCSDRG_8C_CR_VMIN_SRHIAF2_P_X_list,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF1_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF2_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF3_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF3_Legacy_List,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF4_Legacy_List,
CHNPRR1,L2SBFT_8C_ATOML_VMIN_SRHATOMF5_Legacy_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF1_Legacy_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF2_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF3_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF4_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF4_Lockstep_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF5_Dragon_List,
CHNPRR1,L2SBFT_8C_ATOM_VMIN_SRHATOMF5_Lockstep_List,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF1_S1_RENDERB_MEDIAB_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF1_S1_RENDERD_MEDIAD_list,
CHNPRR1,L3SBFT_X_GTSM_VMIN_K_SRHGTSMF1_S1_RENDERE_MEDIAE_list,
